	_id	pos_processed_news	news_table_id	id	arquivo_hash	news_link	news_site_date	news_site_title	news_site_authors	news_site_text	search_newspaper	title_len	arquivo_date	feminicidio	violencia_domestica	violencia_sexual	assedio_sexual	mulheres_assassinadas	search_keywords	title_countains_keyword	feminicidio_case
12550	6066f3367542fb0dd7f9e9a2	6066efdd602993808cbd413c	6065dfa5c6f11f34e1f4c2f5	IAH-20150607003618-00165-p22.arquivo.pt	a5bfecc42316cf0397e75c89378c4081	https://arquivo.pt/noFrame/replay/20150607071539/http://www.dn.pt/Inicio/interior.aspx?content_id=4594760		"Ai queres divórcio?!" E depois matou a mulher a tiro	['Global Media Group']	O homem não aceitou a separação e terá viajado desde Matosinhos para disparar "vários tiros" que acabaram por ceifar a vida à jovem de 25 anos. Depois deixou sair os clientes, onde estavam também crianças, ficando uns instantes no estabelecimento. Seria detido já na rua pela PSP no momento que iria recarregar a caçadeira.  O crime ocorreu por volta da hora de almoço no snack-bar "À Alentejana", na travessa Carlos Porfírio - próximo da esquadra da Polícia - onde recentemente a vítima tinha começado a trabalhar após se separar do companheiro, de 30 anos.  Porém, o homem não aceitou o divórcio. Terá viajado desde Matosinhos até ao Algarve para encontrar mulher, descobrindo o local onde trabalhava.  Segundo relataram clientes que assistiram ao episódio, o suspeito entrou uma primeira vez no estabelecimento e bebeu um café, confirmando que a jovem estava lá. Depois saiu para a rua e voltou a entrar momentos volvidos, já armado com uma caçadeira, que apontou à vítima, perguntando-lhe se queria a separação. "Aí queres divórcio?", terá questionado, antes de disparar, perante a pânico dos clientes.  Um deles garante ao DN "nada ter podido fazer", perante a alegada "cegueira" do indivíduo, segundo a sua própria expressão, para quem a prioridade passou por retirar "os menores" do interior do café.	diario_noticias	10	2015-06-07 07:15:39	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	1
7892	6066f3367542fb0dd7f9c916	6066efdd602993808cbd20b0	6065fa55c6f11f34e1f4d129	IAH-20171012070339-01000-p84.arquivo.pt	699f4f3c309d5dffbfa3121e7576abd8	https://arquivo.pt/noFrame/replay/20171012072637/https://www.jn.pt/mundo/interior/amp/mae-leoa-que-matou-violador-da-filha-a-facada-nao-vai-ser-julgada-8836188.html		"Mãe Leoa" que matou violador da filha à facada não vai ser julgada	[]	África do Sul "Mãe Leoa" que matou violador da filha à facada não vai ser julgada  Foto  Uma mulher sul-africana que matou um homem à facada e feriu outros dois, por estarem a violar a filha, não vai enfrentar acusações criminais.  A mulher de 56 anos, que é apelidada pela imprensa sul-africana de "Mãe Leoa", descobriu que a filha, de 27 anos, estava a ser violada e correu durante três quilómetros com uma faca na mão até chegar ao local onde o crime estaria a decorrer, depois de não ter conseguido contactar a polícia.  Quando chegou ao local, na província de Cabo Oriental, viu os três homens a atacar a filha e esfaqueou-os até que parassem, tendo matado um deles. Na altura, a dois de setembro, a polícia deteve a mulher e acusou-a de homicídio e de duas tentativas de homicídio.  O caso teve grande destaque nos média do país, até que no último domingo a procuradoria nacional decidiu não levar o caso a tribunal, por não estarem reunidas as condições para uma condenação, revelou um porta-voz da instituição.  Para preparar qualquer eventualidade, nas redes sociais já estava montada uma campanha de angariação de fundos para ajudar a mulher, que não foi identificada, com as despesas legais. No domingo, à saída da audição em que as acusações foram arquivadas, uma multidão esperava a mulher para a saudar, revela o jornal britânico "Independent".  Os dois homens que sobreviveram estão acusados de violação e vão comparecer em tribunal na próxima semana.	jornal_noticias	13	2017-10-12 07:26:37	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	1
2199	6066f3367542fb0dd7f9a2d1	6066efdd602993808cbcfa6b	60659d0dc6f11f34e1f49e15	IAH-20190905183102130-p84.arquivo.pt	668a02e8508c239880a03abc486433b7	https://arquivo.pt/noFrame/replay/20190905183228/https://www.jn.pt/mundo/interior/maniaco-em-serie-matou-duas-mulheres-e-policia-procura-casos-anteriores-11268546.html	2019-09-04 19:58:00	"Maníaco em série", Marinésio matou duas mulheres e polícia procura outros casos	['Global Media Group', 'Foto', 'Polícia Civil Do Df']	Ontem às 19:58 Facebook  Twitter  Partilhar  Marinésio dos Santos Olinto, cozinheiro de 41 anos, chocou o Brasil ao confessar, na segunda-feira da semana passada, os homicídios de duas mulheres. Depois da detenção, começaram a surgir outros casos e vítimas que podem estar ligados ao assassino, tratado pela polícia como "maníaco em série".  Marinésio nasceu em Bayeux, estado de Paraíba, uma cidade com cerca de 96 mil habitantes. Mudou-se para Brasília aos cinco anos, com a família. Tem cerca de 1,60 metros e tem cabelo comprido.  Atualmente, morava numa casa humilde, no Vale do Amanhecer. É casado e tem uma filha de 17 anos. Passou cerca de dois meses desempregado mas, há 40 dias, conseguiu uma oportunidade e estava em período de experiência num supermercado.  O homem foi detido no dia 25 de agosto, na sequência do desaparecimento e morte de Letícia Curado, a suposta última vítima de uma série que poderá ser mais longa do que se imaginava.  Na sexta-feira 23 de agosto, depois de a advogada de 26 anos não aparecer à hora de almoço, nem ligar ou mandar mensagem, a família foi à polícia denunciar o desaparecimento. A jovem tinha ido sozinha até à paragem de autocarro para ir para o trabalho.  A polícia começou a investigar onde a jovem poderia estar. Ponderaram algumas hipóteses e, entre elas, surto psicológico e sequestro. Na manhã de sábado, dia 24, os investigadores conseguiram imagens de segurança da região onde Letícia tinha desaparecido, em Planaltina. Ao ver as imagens de segurança de uma loja, para identificar atitudes suspeitas, repararam num veículo prateado que passou duas vezes e parou na paragem de autocarro onde Letícia estava.  Ao abordar o dono de carro, que era Marinésio, os policias encontraram, no porta-luvas do carro, uma bolsa, com material escolar e um relógio, objetos pessoais de Letícia. O telemóvel da vítima também se encontrava no carro, mas justificou que os itens tinham sido comprados por ele.  No dia do desaparecimento de Letícia, Marinésio disse às autoridades que foi levar a filha ao colégio. Depois, foi a casa da irmã, por volta das 9.50 horas, mas não conseguiu explicar o que fez o resto do dia. Com indícios fortes de crime, a polícia conseguiu detê-lo.  Na segunda-feira, dia 26, confessou ter matado duas mulheres: Letícia Sousa Curado e Genir Pereira de Sousa, de 47 anos. Letícia nessa semana e Genir no dia 12 de junho. "Só peço desculpas a todos. A minha família não merecia estar a passar por isto. Vou pagar pelo que fiz", disse o homem. O cozinheiro desempregado confessou abordar Genir Pereira de Sousa, numa paragem de autocarro em Arapoanga, e mata-la por resistir ao assédio.  Depois de ter sido detido, outras vítimas identificaram Marinésio noutros casos. Uma adolescente de 17 anos contou ter sido violada por ele no dia 1 de abril e que, depois, ele a tentou asfixiar. Apresentou queixa de violência sexual em julho. Na manhã do dia 27 de agosto, foi à esquadra para identificá-lo.  Uma outra alegada vítima contou que entrou no carro de Marinésio, no dia 11 de agosto, na Rodoviária de Planaltina, em direção ao Vale do Amanhecer. No caminho, saltou do carro em movimento, quando o condutor começou a passar-lhe a mão na perna. Já a 24 de agosto, duas outras mulheres aceitaram boleira do suspeito, mas conseguiram escapar quando ele as começou a assediar.  Mas os casos amontoam-se e uma das vítimas deu a cara. Em 2015, a brasileira diz ter sido abordada pelo suspeito cerca das 22 horas e obrigada a entrar no carro com uma faca. Já numa zona de mato, tentou-se fazer-se de morta enquanto ele a asfixiava, para que ele desistisse de lhe apertar o pescoço. Nessa altura, consegui dar-lhe um pontapé e fugir, encontrando no caminho um polícia de mota, que a ajudou. Percebeu quem era o seu agressor ao ver a fotografia na televisão.  As autoridades ainda não têm provas para classificar o homem como serial killer, já que só há dois homicídios associados a Marinésio, mas uma especialista na temática explicou ao jornal "Correio Braziliense", que é pouco credível que o suspeito tenha chegado a este ponto, sem deixar outras vítimas.  "Ele deve ser, sim, e é preciso, como a polícia está fazendo, procurar nos arquivos anteriores, porque acredito que vão encontrar outras mortes. O estágio de violência do crime é muito alto para ele estar num segundo assassinato", explicou Ilana Casoy, sem, no entanto, afirmar de forma definitiva que se trata de um assassino em serie.	jornal_noticias	12	2019-09-05 18:32:28	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	1
10042	6066f3367542fb0dd7f9d760	6066efdd602993808cbd2efa	6064acd0c6f11f34e1f3ed65	IAH-20160901023035-00528-p84.arquivo.pt	381472fc63abac2edafe82231e0e08fa	https://arquivo.pt/noFrame/replay/20160901035756/http://www.jn.pt/justica/interior/matou-a-porque-estava-gravida-diz-mae-de-mulheres-assassinadas-5358550.html	2016-08-27 00:39:00	"Matou-a porque estava grávida", diz mãe de mulheres assassinadas	['Global Media Group']	Alexandre Panda 27 Agosto 2016 às 00:39 Facebook  Twitter  Partilhar  Solange Santana Leite, a mãe de Michele e Lidiana, que vive em Minas Gerais, no Brasil, está destroçada com a morte das filhas.  A mulher, que perdeu esta sexta-feira a esperança de voltar a ver as jovens, disse ao JN estar convencida de que Michele foi assassinada pelo namorado, Dinai Alves Gomes, porque estava grávida.  "Ele já a tinha avisado que se ela engravidasse, a matava. Matou-a porque ela estava grávida de três meses. A minha filha tinha confessado isso a uma amiga que vive em Portugal. O Dinai tem dois filhos cá no Brasil e julgo que ele não queria outros filhos", explicou ao JN Solange, que ainda acreditava que as filhas pudessem estar vivas.  Leia mais na versão e-paper ou na edição impressa.	jornal_noticias	10	2016-09-01 03:57:56	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	1
1362	6066f3367542fb0dd7f99dda	6066efdd602993808cbcf574	6065ebfdc6f11f34e1f4c89b	WEB-20191113020433694-p84.arquivo.pt	83b617b9cc603fb6d1cb26640c938910	https://arquivo.pt/noFrame/replay/20191113020501/https://www.cmjornal.pt/portugal/detalhe/nunca-quis-matar-a-mulher-da-minha-vida-homem-que-assassinou-ex-companheira-na-golega-ouvido-em-tribunal?ref=Mundial2018_BlocoemDestaque		"Nunca quis matar a mulher da minha vida": Homem que assassinou ex-companheira na Golegã ouvido em tribunal	[]	"Nunca tive a intenção de matar aquela que foi a mulher da minha vida", afirmou perante o coletivo de juízes do Tribunal de Santarém Rui Vieira, o homem que começou esta terça-feira a ser julgado pelo homicídio da ex-companheira, Ana da Silva, na danceteria São Martinho, na Golegã.  Segundo o arguido, os dois tiros de caçadeira que disparou eram direcionados ao homem que acompanhava a sua ex-mulher na noite de 17 de fevereiro, naquele estabelecimento de diversão noturna, e que ele acreditava ser um novo namorado.  Rui Vieira explicou que já os tinha visto juntos noutras danceterias em Ourém e Santarém, e que sentia que o homem o desafiava "com o olhar" e que o "provocava".  "Também não o queria matar, queria apenas chumbá-lo nas pernas porque ele andava a gozar com a minha cara", confessou Rui Vieira, que começou a responder por quatro crimes, homicídio qualificado e homicídio qualificado na forma tentada, detenção de arma proibida e violência doméstica.  Sobre a perseguição que moveu à vítima nos meses antes do crime e as agressões que ditaram o fim do relacionamento, o arguido tentou explicar que não agrediu fisicamente ou ofendeu por palavras Ana da Silva, mas o seu relato foi de seguida desmentido pelos três filhos da vítima, que vieram ao tribunal contar alguns episódios de violência, e dizer que a mulher vivia assustada e com medo de Rui Vieira.  Mesmo confrontado pela Procuradora do Ministério Público (MP) com as mensagens SMS ameaçadoras que enviou à ex-companheira, o arguido afirmou que nunca planeou ou quis a sua morte, e que, na noite do crime, foi à sua casa, em Riachos, concelho de Torres Novas, buscar a caçadeira apenas com a intenção de ferir o homem que a acompanhava.  Recorde-se que Rui Vieira, de 63 anos, assassinou a ex-companheira, Ana da Silva, que tinha 53 anos, com um tiro de caçadeira pelas costas, no parque de estacionamento da danceteria São Martinho, na Golegã, em fevereiro último.  O casal, segundo o Despacho de Acusação do MP, residiu na mesma casa, com os três filhos da mulher, entre 2012 e 2014, altura em que começaram a viver separadamente, mas sem terminar os encontros fortuitos.  Em agosto de 2018, Ana da Silva quis colocar um ponto final na relação, algo que Rui Vieira nunca aceitou, passando a persegui-la, segundo o MP, até ao dia em que a matou, por ciúmes e de forma premeditada.	correio_manha	18	2019-11-13 02:05:01	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	1
5922	6066f3367542fb0dd7f9bbff	6066efdd602993808cbd1399	60655d7ec6f11f34e1f46ff1	IAH-20181003193021785-p84.arquivo.pt	2e6e2dd9a069648db792f20cfb38d0a8	https://arquivo.pt/noFrame/replay/20181003193131/https://www.jn.pt/mundo/interior/o-meu-filho-de-13-anos-matou-a-irma-a-sangue-frio-conta-mae-ainda-em-choque-9940653.html	2018-10-02 18:35:00	"O meu filho de 13 anos matou a irmã a sangue frio", conta mãe ainda em choque	['Global Media Group', 'Foto']	Ontem às 18:35 Facebook  Twitter  A história de Charity Lee está carregada de drama e dor. O filho que tanto amava matou a irmã. Sem que nada o fizesse prever e para se vingar da mãe. A cicatriz deixada na alma desta mãe nunca sarou. Mas a mulher norte-americana conseguiu perdoar o filho.  Chariy Lee estava a trabalhar, em Abilene, no Texas, quando as autoridades locais a contactaram com a informação que nenhuma mãe quer receber. A filha, Ella, de quatro anos, estava morta. Se o primeiro impacto foi mau, a réplica veio reforçar o perfil dramático da história. A menina morreu com 17 facadas desferidas pelo irmão.  O rapaz usou uma faca de casa e assassinou a irmã enquanto esta dormia. O plano tinha sido pensado ao pormenor. Esperou que a mulher que tomava conta deles saísse de casa para entrar no quatro da pequena rapariga. Depois do esfaqueamento, chamou a polícia e permaneceu no local, onde viria a admitir ser o culpado. O caso remonta a 2007, mas foi agora tornado público, numa entrevista de Charity ao "The New York Post" e à BBC.  O motivo para tamanha crueldade foi a vingança. Não por a mãe gostar mais da filha ou por ter rejeitado um qualquer pedido feito pelo então adolescente. O rapaz não suportou a recaída da mãe no mundo das drogas, depois de um processo de recuperação que a tinha ajudado a ficar limpa anos antes.  O assassino foi condenado a 40 anos de prisão, o máximo possível em casos de homicídio juvenil. Teria sido condenado à pena de morte se fosse maior de idade. Permanece encarcerado numa prisão do Texas, onde é visitado pela mãe, que vive agora na Georgia. "Chorei constantemente durante meses. Perdi 15 quilos em 13 dias. Sei que ele só não me matou a mim porque saberia que eu sofreria pouco tempo. Ao matar a irmã, tinha a certeza de que eu ia sofrer mais tempo", explicou a mulher.  Em declarações à BBC, Charity defende-se de quem lhe aponta o dedo por continuar a visitar o filho na prisão. "O meu amor é incondicional. Eu nunca, em momento algum, vou deixar de amar o meu filho", disse.  Em 2013, seis anos depois de perder a filha, Charity engravidou novamente e teve um filho a quem chamou de Fénix. "É o nome de uma ave mitológica que se ergue das cinzas depois da destruição", justificou.	jornal_noticias	17	2018-10-03 19:31:31	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	1
1903	6066f3367542fb0dd7f9a11a	6066efdd602993808cbcf8b4	606571a7c6f11f34e1f47c25	WEB-20190930205732398-p82.arquivo.pt	0b0e22d1980aa72c5f7cce8427f1b74f	https://arquivo.pt/noFrame/replay/20190930205818/https://expresso.pt/internacional/2016-07-18-Eu-amo-ser-quem-sou-defendia-a-liberdade-das-mulheres-o-irmao-matou-a	2016-07-18 00:00:00	“Eu amo ser quem sou”: defendia a liberdade das mulheres, o irmão matou-a	[]	Tinha perto de 750 mil seguidores no Facebook e os seus vídeos tornaram-se virais, gerando grande debate no Paquistão: de um lado a indignação dos mais conservadores, do outro os elogios das feministas. Conhecida como Qandeel Balock, esta paquistanesa de 26 anos tornou-se uma estrela das redes sociais ao desafiar os costumes vigentes.  Os vídeos em que falava sobre os seus cortes de cabelo ou sobre as paixões que nutria por celebridades não eram muito distintos dos publicados por inúmeras outras raparigas da sua idade por todo o mundo. No seu país, a sua atitude acabou por se revelar demasiado “ultrajante”. Em especial quando começou a desafiar mais abertamente o papel de submissão para o qual as mulheres são relegadas, num registo de maior provocação.  O post onde anunciou que iria fazer um show de striptease se o Paquistão ganhasse à Índia em cricket ganhou tremendo destaque, tal como uma foto no Instagram na qual surgia acompanhada de Mufti Abdul Qavi, um alto membro do clero - uma publicação que faria manchetes nos jornais do Paquistão, acabando por levar à suspensão de Qavi de um dos comités religiosos.  “Eu acredito que eu sou uma feminista dos tempos modernos. Eu acredito na igualdade. Eu não preciso de escolher que tipo de mulher devo ser. Eu não acho que haja qualquer necessidade de nos classificarmos em função da sociedade. Eu sou apenas uma mulher com pensamentos e uma mente livre e EU AMO SER QUEM SOU”, escreveu no Facebook.  Apesar do destaque que granjeara, pouco divulgava da sua vida pessoal nas redes sociais, não se sabendo sequer em que cidade residia. Alguns dias antes da sua morte, os media locais revelaram que o seu verdadeiro nome era Fauzia Azzem e que se tinha casado aos 17 anos e deixado o marido um ano depois.  Soube-se depois que, na realidade, Qandeel vivia sob grandes constrangimentos e ameaças, temendo pela sua vida. Acabou por ser morta pelo irmão, que a drogou e estrangulou e que, após ter sido capturado pela polícia, justificou o crime por ela ter “desonrado a família”.  “Ela apoiava-nos a todos, incluindo o meu filho que a matou”, declarou agora o seu pai, Mohammad Azeem, em declarações ao jornal “Dawn”.  A morte de Fauzia deu lugar a um grande debate no Paquistão sobre os “crimes de honra” e sobre qual será o “comportamento aceitável” das mulheres paquistanesas nas redes sociais.	expresso	14	2019-09-30 20:58:18	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	1
4270	6066f3367542fb0dd7f9b185	6066efdd602993808cbd091f	60659587c6f11f34e1f4983b	IAH-20190308184721060-p84.arquivo.pt	f515f0f769abf2e638fb141bd3eda0a2	https://arquivo.pt/noFrame/replay/20190308184819/https://www.cmjornal.pt//multimedia/videos/detalhe/matou-a-minha-filha-enquanto-dormia-diz-mae-da-vitima-do-monstro-do-seixal		“Matou a minha filha enquanto dormia”, diz mãe da vítima do monstro do Seixal	['Correio Da Manha']	Copyright © 2019. Todos os direitos reservados. É expressamente proibida a reprodução na totalidade ou em parte, em qualquer tipo de suporte, sem prévia permissão por escrito da Cofina Media S.A.  Consulte a Política de Privacidade Cofina.	correio_manha	14	2019-03-08 18:48:19	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	1
14968	6066f3367542fb0dd7f9fb5b	6066efdd602993808cbd52f5	60648436c6f11f34e1f3ce4e	IAH-20120909045441-00147-p12.arquivo.pt	72103e3db320252e69ef9f30a76d1210	https://arquivo.pt/noFrame/replay/20120909050425/http://www.publico.pt/Sociedade/rainha-da-cocaina-assassinada-em-medellin-1561633		“Rainha da cocaína” assassinada em Medellín	['Bia Carriço', 'Fernando Belo', 'Luís Miguel Queirós Texto Paulo Pimenta Fotos', 'Margarida Santos Lopes']	A mulher, de 69 anos, cuja alcunha surgiu na década de 1970, foi atingida na cabeça por disparos efectuados por um homem, que fugiu numa moto, quando se encontrava à porta de um estabelecimento comercial naquela cidade colombiana, acompanhada de uma das suas filhas, que está grávida e saiu ilesa do ataque.    As autoridades colombianas, citadas pela imprensa internacional, destacam o envolvimento de Blanco no tráfico de estupefacientes, comparando-a aos grandes chefes dos cartéis de droga de Medellín e de Cali, como Pablo Escobar, Carlos Ledher ou os irmãos Miguel e Gilberto Rodríguez.    Griselda Blanco, também chamada “Madrinha”, ficou conhecida por ser pioneira no tráfico de cocaína da Colômbia para os Estados Unidos e por ser implacável com os rivais: matou ou mandou matar alguns. Um dos seus maridos teve a mesma sorte, segundo relatos sobre a sua vida.    Em 1985, a colombiana foi detida e depois condenada nos Estados Unidos a 20 anos de prisão, por “conspiração para introduzir cocaína” em território norte-americano, através do estado da Florida. Em 2004, foi deportada para a Colômbia, onde permaneceu escondida, até esta segunda-feira. Blanco chegou a ser considerada uma das mulheres mais ricas do mundo.      	publico	6	2012-09-09 05:04:25	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	1
9025	6066f3367542fb0dd7f9d01e	6066efdd602993808cbd27b8	6065f221c6f11f34e1f4cc42	IAH-20170410035643-00689-p84.arquivo.pt	2de70de67709885f8c550317374c64f2	https://arquivo.pt/noFrame/replay/20170410040923/http://www.dn.pt/sociedade/interior/doze-anos-de-prisao-para-homem-que-matou-sogra-a-paulada-5769723.html	2017-04-04 13:16:00	12 anos de prisão para homem que matou sogra à paulada por engano	['Global Media Group', 'Global Imagens']	Pub  O coletivo de juízes deu como provado que o arguido teve intenção de matar mas que se enganou no alvo, já que pensaria que estava a agredir o alegado amante da sua ex-companheira.  O Tribunal de Guimarães condenou hoje a 12 anos de prisão o homem que em fevereiro de 2016 matou a sogra à paulada em Fontarcada, Póvoa de Lanhoso.  O coletivo de juízes deu como provado que o arguido teve intenção de matar mas que se enganou no alvo, já que pensaria que estava a agredir o alegado amante da sua ex-companheira.  Na altura dos factos, a vítima, de 87 anos, estava deitada na cama, completamente coberta e a casa estava totalmente às escuras.  O arguido estava acusado de homicídio qualificado, mas o tribunal condenou-o por homicídio simples, considerando que não houve premeditação e que não agiu por motivo fútil.  Para o tribunal, na origem do crime estiveram os ciúmes do arguido.  No entanto, o tribunal deu como provado que o arguido desferiu vários golpes violentos na cabeça da vítima, pelo que daquela agressão resultaria sempre a morte, mesmo que em causa não estivesse uma pessoa de 87 anos.  Os factos remontam a 18 de fevereiro de 2016, quando o arguido foi a casa da ex-companheira e se apercebeu de um "vulto" numa das camas.  Suspeitando que seria o amante da sua ex-companheira, desferiu várias pauladas na cabeça, "com violência".  Em tribunal, o arguido negou a intenção de matar.  O homem estava também acusado de detenção de arma proibida, por ter utilizado um pau de 79 centímetros de comprimento que teria metido na mala do carro expressamente para o efeito.  No entanto, o tribunal absolveu-o deste crime, por considerar que o pau foi apanhado mesmo à porta da casa onde se registaram os factos.  O arguido terá ainda de pagar 80 mil euros de indemnização à família da vítima.	diario_noticias	13	2017-04-10 04:09:23	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	1
