	Unnamed: 0	_id	pos_processed_news	news_table_id	id	arquivo_hash	news_link	news_site_date	news_site_title	news_site_authors	news_site_text	search_newspaper	title_len	arquivo_date	feminicidio	violencia_domestica	violencia_sexual	assedio_sexual	mulheres_assassinadas	search_keywords	title_countains_keyword	feminicidio_case	country	region	lat	lon	district	cont_mad_azo	geometry
56	17587	6066f3367542fb0dd7fa0bc0	6066efdd602993808cbd635a	6065580ec6f11f34e1f46c0b	AWP-JornaisPT-20161128064350-00085	548b94383731d6ac4507daaba1d94698	https://arquivo.pt/noFrame/replay/20010519063900/http://jornal.publico.pt/publico/2001/05/19/LocalPorto/LP10.html	2001-05-19 00:00:00	Assassinou a mulher e o companheiro na Murtosa	[]	"Assassinou a Mulher e o Companheiro na Murtosa  Sábado, 19 de Maio de 2001  Um indivíduo de 37 anos de idade assassinou a tiro de caçadeira a esposa e o companheiro desta, ambos com 32 anos. O crime ocorreu pelas 22h56 de anteontem, em plena via pública, junto à residência do próprio autor dos disparos, no município da Murtosa. V. Oliveira, serralheiro de profissão, acabou por se entregar às autoridades, na mesma noite, na esquadra da PSP de Aveiro. Foi posteriormente encaminhado para a GNR da Murtosa e ouvido, ontem à tarde, pelo Tribunal de Estarreja.  Maria José Nunes e Raul Rendilheiro foram assassinados anteontem à noite na Rua de Vasco da Gama, na Murtosa. Entre as motivações do crime, estarão ""problemas decorrentes do processo de divórcio entre a vítima feminina e o marido"", conforme explicou ao PÚBLICO fonte da GNR da Murtosa. Segundo a mesma fonte, Maria José e Raul ""já viviam maritalmente, em Beduído, Estarreja, há algum tempo, mas visitavam V. Oliveira com alguma assiduidade, para discutir questões relacionadas com a separação"".  Oliveira - que por sua vez, e ao que tudo indica, mantinha uma relação amorosa com a esposa de Raul - assassinou a mulher, doméstica, e o seu companheiro, que trabalhava como pedreiro, com a sua própria arma de caça. O autor-confesso do crime é pai de dois filhos menores, não possui quaisquer antecedentes criminais, e trabalhava em Aveiro, numa empresa do ramo da metalurgia. Era considerado por todos um indivíduo calmo e pacífico, e assumiu voluntariamente a autoria do crime às autoridades policiais.  Patrícia Coelho Moreira"	diario_noticias	8	2001-05-19 06:39:00	False	True	False	False	True	True	True	1	Portugal	Médio Tejo	39.60620405	-8.2810194	SANTARÉM	continental	POINT (-8.2810194 39.60620405)
600	17535	6066f3367542fb0dd7fa0b73	6066efdd602993808cbd630d	606572e4c6f11f34e1f47d67	AWP-JornaisPT-20161128031857-00083	26e07cfb713deb0977b27704303e0dcc	https://arquivo.pt/noFrame/replay/20010609084331/http://jornal.publico.pt/publico/2001/06/09/LocalPorto/LP26.html	2001-06-09 00:00:00	Mulher que matou marido condenada a 20 anos de cadeia	[]	"A sentença  Mulher Que Matou Marido Condenada a 20 Anos de Cadeia  Sábado, 9 de Junho de 2001  A Vara Mista de Braga condenou ontem Teresa Alves Pires, comerciante de peixe, com 33 anos de idade, residente em Braga, a 20 anos de prisão efectiva, dando como provada a acusação de homicídio qualificado na pessoa do marido. Teresa Pires terá ainda de pagar 33.000 contos aos familiares do ex-cônjuge.  A comerciante matou o marido, Arlindo Afonso, em Abril do ano passado. Segundo a tese provada em tribunal, Teresa terá aproveitado a circunstância do marido se encontrar doente, adormeceu-o com comprimidos, introduziu-o no seu automóvel e levou-o, desde a sua casa, em Braga, até um local ermo, em Santa Isabel do Monte, uma freguesia do concelho de Terras de Bouro. Aí, lançou gasolina à viatura e empurrou-a para uma ravina. No dia seguinte, a comerciante fugiu para casa de familiares que residiam no Luxemburgo, país de onde acabaria por ser extraditada a pedido da Polícia Judiciária de Braga e do tribunal, depois de um conjunto de investigações desenvolvidas em colaboração com a Interpol.  Durante o julgamento, a arguida negou a autoria do crime, mas a tese não convenceu o colectivo de juízes, que lhe recordou que ""em vez de levá-lo para o hospital, levou-o para o abismo"", numa alusão a uma atitude criminosa cuja origem o tribunal não conseguiu apurar, mas que tudo indica ter na sua origem razões de ordem passional.  Francisco Fonseca"	diario_noticias	10	2001-06-09 08:43:31	False	False	False	False	True	True	True	1	Portugal	Cávado	41.60693523333333	-8.388090700000001	BRAGA	continental	POINT (-8.388090700000001 41.60693523333333)
258	16722	6066f3367542fb0dd7fa06db	6066efdd602993808cbd5e75	6064c201c6f11f34e1f3fd8b	IAH-20100524165811-00083-p12.arquivo.pt	cc2be5bd942034cb6d93e72a6fd1a862	https://arquivo.pt/noFrame/replay/20100524170216/http://www.publico.pt/Local/homem-mata-mulher-e-filha-a-facada-em-braga_1438482		Homem mata mulher e filha à facada em Braga	['Tentou Suicidar-Se']	A Polícia Judiciária de Braga já está a investigar o duplo homicídio, que aconteceu durante a madrugada, numa torre de apartamentos no centro da cidade, na freguesia de S. Vítor, após uma violenta discussão entre o casal. De acordo com a versão da polícia, o homem, de 35 anos, esfaqueou-se depois de atacar com violência a mulher, de 32 anos, e a filha. Terão sido os vizinhos a dar o alarme, cerca das 7h00, depois de ouvirem os pedidos de ajuda da mulher. Chamada ao local, a PSP acabou por deter o homem – que se encontrava no interior apartamento, deitado na cama, a sangrar – e confirmou os óbitos, com o apoio do INEM.    O caso foi comunicado pela PSP à Judiciária, que recolheu no apartamento vários indícios e aguardava que o homem ficasse em condições de ser interrogado para esclarecer as motivações do crime.	publico	9	2010-05-24 17:02:16	False	True	False	False	True	True	True	1	Portugal	Cávado	41.5510583	-8.4280045	BRAGA	continental	POINT (-8.4280045 41.5510583)
631	16649	6066f3367542fb0dd7fa0669	6066efdd602993808cbd5e03	606556dec6f11f34e1f46b21	IAH-20100809053509-09637-p13.arquivo.pt	b491ae8ce7e5a69cdb8c2a10451c3c98	https://arquivo.pt/noFrame/replay/20100809060037/http://www.publico.pt/Sociedade/pena-maxima-para-homem-que-mandou-matar-a-mulher-a-assassinou-o-homicida-contratado_1390727		Pena máxima para homem que mandou matar a mulher a assassinou o homicida contratado	['Sentença Lida Hoje Em Évora']	O arguido terá contratado um homem, de nacionalidade francesa, para matar a mulher, o que aconteceu, e, pouco mais de dois meses depois, acabou por assassiná-lo em França, com dois tiros na cabeça, tendo também conseguido fazer chegar o cadáver a Portugal, onde o enterrou.    O caso, julgado no Tribunal de Évora e cujo acórdão do colectivo de juízes foi hoje lido, envolveu ainda outros dois arguidos, o pai do emigrante, condenado por co-autoria do crime de profanação de cadáver, e um tio, sentenciado por cumplicidade no mesmo crime.    	publico	14	2010-08-09 06:00:37	False	False	False	False	True	True	True	1	Portugal	Médio Tejo	39.433224200000005	-8.567392135367744	SANTARÉM	continental	POINT (-8.567392135367744 39.43322420000001)
713	16627	6066f3367542fb0dd7fa0636	6066efdd602993808cbd5dd0	606483efc6f11f34e1f3ce2c	IAH-20100826180142-00018-p12.arquivo.pt	7a578fae7ffe06413e220e75c66a10c9	https://arquivo.pt/noFrame/replay/20100826202710/http://www.publico.pt/Sociedade/rosalina-ribeiro-nao-fez-grandes-alteracoes-ao-testamento-tres-meses-antes-de-ser-assassinada-no-rio-de-janeiro_1452181		Rosalina Ribeiro não fez grandes alterações ao testamento três meses antes de ser assassinada no Rio de Janeiro	['Entre Os Dois Testamentos Praticamente Não Existem Diferenças']	"Os dois últimos testamentos de Rosalina Ribeiro, antiga secretária de Tomé Feteira, assassinada no Brasil a 8 de Dezembro de 2009, podem fazer alguma luz sobre a sua personalidade, mas não adiantam muito sobre o seu património. Isto, porque só descrevem os bens imóveis que possuía em Portugal.    Dos dois documentos, lavrados em Junho de 2007 e Setembro de 2009 no cartório do notário Carlos Melon - falecido em Lisboa nove dias depois do assassínio de Rosalina, após uma intervenção cirúrgica -, ressalta que, entre um e outro, nenhum afilhado foi excluído da herança, ao contrário do que tem sido publicado. Quem constava no testamento de 2007 e já não está no último, que revogou todos os anteriores, à excepção daquele que Rosalina fez no Brasil, foi Maria Idalina Dias Fernandes, uma mulher adulta e solteira, que residia em Lisboa com a testadora. Esta é a única diferença existente entre os dois textos a que o PÚBLICO teve acesso. Invulgar em ambos é a determinação final que reza assim: ""É última vontade da testadora que, aquando da sua morte lhe sejam cortadas as artérias dos pulsos e que o seu corpo seja cremado"". Contactado pelo PÚBLICO, o director-geral do grupo funerário Servilusa, António Balha, garantiu que nunca teve conhecimento de ""um pedido dessa natureza"".    Antes disso, e independentemente do destino dos seis imóveis de que era proprietária em Portugal, Rosalina deixou escrito que ""as suas jóias, os seus carros e quaisquer dinheiros existentes nas suas contas bancárias"" são deixados a Vítor Manuel Ribeiro da Silva, um familiar de 61 anos que tem sido referido como seu sobrinho por afinidade (por parte do homem de quem era viúva quando foi assassinada) e que reside em Idanha, concelho de Sintra. A ele cabe também a função de testamenteiro (o que executa o testamento) e a responsabilidade de ""mandar rezar quatro missas mensais, por intenção da testadora, da sua tia Camila Lima, por Paula Mendes e por Lúcio Tomé Feteira"".    Na distribuição dos bens imóveis que possuía à data da morte, a antiga secretária e companheira de Tomé Feteira resolveu contemplar o ""Instituto de Oncologia de Lisboa"", legando-lhe um apartamento situado no número seis da Alameda de Santo António dos Capuchos, em Lisboa. O PÚBLICO tentou ontem à tarde saber se o Instituto Portugês de Oncologia tem conhecimento deste legado, mas não obteve resposta.    Entre os sobrinhos a quem deixou os restantes imóveis sobressai Vitor Manuel Ribeiro da Silva, que além de um dos dois apartamentos que a falecida tinha no número 24 da Rua Luciano Cordeiro, em Lisboa, ficou com a Vivenda Brisamar, em Porto de Mós, Lagos, e com o terreno que a rodeia. Rosalinda Ribeiro pôs, porém, uma condição para lhe legar esta propriedade, que, segundo o Correio da Manhã, vale cerca de três milhões de euros: ""Não serem feitas [no interior da quinta] quaisquer edificações em frente às duas moradias contíguas, pertencentes a Johana Kwarts, que possam prejudicar a sua vista sobre o mar.""    O outro apartamento da rua Luciano Cordeiro (que no testamento de 2007 se destinava a Maria Idalina) ficou para Sérgio Soares Ribeiro e mulher (sobrinhos), residentes em Vieira de Leiria, a terra onde nasceu Tomé Feteira, em 1886, e que constituiu o ponto de partida do império empresarial por ele criado. Por fim, os dois apartamentos de que Rosalinda era proprietária na praia de Vieira de Leiria foram legados aos dois filhos de Sérgio Soares Ribeiro.    O testamento foi aberto em em 12 de Fevereiro deste ano, após apresesentação da certidão de óbito no cartório notarial. Por determinar está o destino do quinhão de 2,5 por cento da herança de centenas de milhões de euros que Tomé Feteira destinou à sua antiga secretária e que permanece envolvido num complexo litígio judicial com os restantes herdeiros do industrial.    "	publico	18	2010-08-26 20:27:10	False	False	False	False	True	True	True	1	Portugal	West	39.08124977222222	-9.080750755904877	LISBOA	continental	POINT (-9.080750755904877 39.08124977222222)
719	16626	6066f3367542fb0dd7fa0635	6066efdd602993808cbd5dcf	60648401c6f11f34e1f3ce30	IAH-20100826180047-00017-p12.arquivo.pt	68dff8affd555a51ce3c8eaf132237f5	https://arquivo.pt/noFrame/replay/20100826202822/http://www.publico.pt/Sociedade/secretaria-de-tome-feteira-assassinada8232no-brasil-estava-falida-e-alterou-testamento_1450984		Secretária de Tomé Feteira assassinada no Brasil estava falida e alterou testamento	['Rosalina Ribeiro Foi Assassinada Em Dezembro Passado']	Por causa da herança, Rosalina, que viveu com Feteira durante mais de 30 anos, estava envolvida numa disputa judicial com a filha do empresário e estaria a passar por dificuldades económicas, ao ponto de lhe ser difícil pagar aos empregados que tratavam de um conjunto de casas que alugava na localidade de Porto de Mós, em Lagos, no Algarve.    A última alteração que Rosalina fez ao seu testamento ocorreu poucos dias depois de, em Lisboa, a PJ ter recebido a resposta a uma carta rogatória enviada para a Suíça. Nessa diligência ficava provado, ao fim de quase nove anos de investigações, que a ex-secretária de Tomé Feteira movimentara o dinheiro que este ali tinha depositado e que, alegadamente, transferira parte (5,2 milhões de euros) para uma conta do seu advogado, o ex-deputado do PSD Domingos Duarte Lima. As transferências para o advogado, em cinco ocasiões, entre Março e Abril de 2001, não foram confirmadas nem desmentidas por este, que, em declarações escritas ao PÚBLICO, se limitou a afirmar estar impedido, pelo Estatuto do Advogado, de se pronunciar sobre o caso.    Já a filha de Tomé Feteira, Olímpia Feteira Menezes, confirma que Duarte Lima recebeu os referidos montantes e adianta que a herança do seu pai foi esvaziada ao longo dos anos pela sua secretária. “Não foi apenas o dinheiro da Suíça. Rosalina, utilizando documentos que eu creio terem sido falsificados, levantou dinheiro de contas que o meu pai tinha em Portugal, no Brasil, através do Banco Boston [que hoje já não existe], e noutros países”.    	publico	12	2010-08-26 20:28:22	False	False	False	False	True	True	True	1	Portugal	Alentejo Litoral	38.518523200000004	-8.702014757693078	SETÚBAL	continental	POINT (-8.702014757693078 38.5185232)
639	16619	6066f3367542fb0dd7fa062d	6066efdd602993808cbd5dc7	606483d8c6f11f34e1f3ce26	IAH-20100910150148-00052-p12.arquivo.pt	1b563b748c861def7476971ee9e0b415	https://arquivo.pt/noFrame/replay/20100910192920/http://www.publico.pt/Sociedade/pj-detem-filho-adoptivo-da-medica-que-foi-assassinada-em-coimbra_1454923		PJ detém filho adoptivo da médica que foi assassinada em Coimbra	['Vítima Foi Encontrada Morta Em Casa']	De acordo com fonte policial, os indícios recolhidos contra o jovem de 24 anos, estudante do 4º ano do Curso de Medicina da Universidade de Coimbra, “são extremamente evidentes” e tudo aponta para que tenha havido “algum grau de premeditação” no crime.    Os motivos que poderão ter estado na origem do homicídio são “complexos”, mas as relações familiares “muito tensas”, em particular entre mãe e filho, poderão ser parte da explicação, explicou ao PÚBLICO fonte ligada à investigação. O jovem de 24 anos encontrava-se actualmente a viver com a mãe adoptiva, num apartamento da urbanização “Quinta da Lomba”, em Coimbra, depois de os pais adoptivos se terem separado.    O corpo da médica de família, que trabalhava há mais de uma década no Centro de Saúde do bairro Norton de Matos, foi encontrado terça-feira de manhã, cerca das 8h30, pela empregada doméstica, num cenário de alguma violência. O filho adoptivo foi detido ainda ontem pela Polícia Judiciária, tendo sido alvo de interrogatório.    	publico	11	2010-09-10 19:29:20	False	True	False	False	True	True	True	1	Portugal	Baixo Mondego	40.2109801	-8.429205699999999	COIMBRA	continental	POINT (-8.429205699999999 40.2109801)
191	16606	6066f3367542fb0dd7fa0610	6066efdd602993808cbd5daa	6065003ac6f11f34e1f433df	IAH-20101001222315-00040-p12.arquivo.pt	f7d1215fb1a45be56d7f6110275aa868	https://arquivo.pt/noFrame/replay/20101001224203/http://www.publico.pt/Local/gnr-detem-jovem-de-22-anos-que-esfaqueia-e-mata-exnamorada-em-albufeira_1458779		GNR detém jovem de 22 anos que esfaqueia e mata ex-namorada em Albufeira	[]	A mesma fonte acrescentou que o crime aconteceu na Urbanização Vila Branca, Torre de Musgueira, em Albufeira, tendo a GNR sido alertada pelas 04h20.    O caso foi já entregue à Polícia Judiciária.    	publico	14	2010-10-01 22:42:03	False	False	False	False	True	True	True	1	Portugal	Algarve	37.144524	-8.214588148218034	FARO	continental	POINT (-8.214588148218034 37.144524)
575	16525	6066f3367542fb0dd7fa0588	6066efdd602993808cbd5d22	60648c61c6f11f34e1f3d42d	IAH-20101204160148-00016-p12.arquivo.pt	1597559c5a26b64699924f04200e9fdd	https://arquivo.pt/noFrame/replay/20101204202214/http://sol.sapo.pt/inicio/Sociedade/Interior.aspx?content_id=6108		Mulher assassinada na estação da Amadora	[]	Uma mulher foi esfaqueada até à morte hoje de manhã na estação ferroviária da Reboleira, na Amadora, desconhecendo-se as motivações do crime, disse à agência Lusa fonte da PSP.  Segundo a mesma fonte, o crime ocorreu cerca das 9h, quando a vítima, empregada de limpeza na estação, estava a trabalhar.  «Houve várias pessoas que assistiram, incluindo a colega de trabalho que estava ali próxima», adiantou.  Um familiar da vítima disse à agência Lusa que a mulher, de 40 anos, era vítima de maus-tratos por parte do antigo companheiro, que é suspeito de «há pouco tempo» lhe ter incendiado a habitação onde residia, no bairro de Santa Filomena.  O caso foi entregue à Polícia Judiciária.  Lusa / SOL	sol	6	2010-12-04 20:22:14	False	False	False	False	True	True	True	1	Portugal	Grande Lisboa	38.7595162	-9.223677009460122	LISBOA	continental	POINT (-9.223677009460122 38.7595162)
220	16519	6066f3367542fb0dd7fa0581	6066efdd602993808cbd5d1b	60651e69c6f11f34e1f4483c	IAH-20101209203922-00041-p12.arquivo.pt	607a21db212614783432a5b96a94a8b6	https://arquivo.pt/noFrame/replay/20101209221717/http://sol.sapo.pt/inicio/Sociedade/Interior.aspx?content_id=6519		Homem mata companheira na estação da CP da Amadora	[]	Um homem esfaqueou a companheira de 32 anos em plena estação de caminhos-de-ferro da Amadora na passada sexta-feira. A vítima era mãe dos dois filhos do casal e o homicida já foi detido pela Polícia Judiciária.  O homem tem 39 anos, estrangeiro, foi já presente ao Tribunal da Comarca da Grande Lisboa, tendo ficado em prisão preventiva.  SOL	sol	9	2010-12-09 22:17:17	False	False	False	False	True	True	True	1	Portugal	Grande Lisboa	38.74947020000001	-9.224505404730065	LISBOA	continental	POINT (-9.224505404730065 38.74947020000001)
