news_site_title	district
Ai queres divórcio?! E depois matou a mulher a tiro	LEIRIA
Nunca quis matar a mulher da minha vida: Homem que assassinou ex-companheira na Golegã ouvido em tribunal	SANTARÉM
“Matou a minha filha enquanto dormia”, diz mãe da vítima do monstro do Seixal	SETÚBAL
12 anos de prisão para homem que matou sogra à paulada por engano	BRAGA
12 anos de prisão para jovem que matou ex-namorada em Braga	PORTO
"13 anos de prisão para homem que matou a mulher por ""não ter feito o almoço"""	VIANA DO CASTELO
17 anos de prisão para homem que matou mulher a tiro	SETÚBAL
18 anos de cadeia para homem que matou mulher com 19 facadas	PORTO
19 anos de prisão para homem que matou a sogra	BRAGANÇA
21 anos de prisão para jovem que matou ex-namorada em Braga	BRAGA
21 anos e meio de prisão para homem que matou ex-namorada grávida	LISBOA
25 anos de prisão para homem que matou mulher e filha em Soure	COIMBRA
25 anos de prisão para homem que matou mulher e GNR	COIMBRA
A 30.ª vítima de violência doméstica. Mulher assassinada hoje tinha 44 anos e dois filhos	BRAGANÇA
Acidente mata mãe de 35 anos e deixa filha de seis e bebé feridos	SETÚBAL
Advogada assassinada em Estremoz	ÉVORA
Assassinada à pancada com tijolo por ciúmes	COIMBRA
Assassinada luso-venezuelana sequestrada em Miranda	LISBOA
Assassinada pelo marido após duas queixas na GNR	COIMBRA
Assassinou a mulher com três tiros de caçadeira em Braga	BRAGA
Assassinou a mulher e o companheiro na Murtosa	SANTARÉM
Assassinou mulher à facada por suspeitar que estivesse grávida	VISEU
Atropelamento ferroviário mata mulher em Alenquer	SANTARÉM
Autoridades procuram homem que matou uma mulher à facada	BRAGANÇA
Balões e muitas lágrimas nas cerimónias fúnebres de avó e neta assassinadas no Seixal	SETÚBAL
Bebé raptada pelo pai que matou sogra encontrada morta no carro	SETÚBAL
Beja: ex-bancário mata mulher, filha e neta dentro de casa [fotos]	BEJA
Bispo do Porto critica justiça e feministas no caso de freira violada e assassinada	PORTO
Bombeiro que matou jovem mãe alega legítima defesa	VISEU
Caça ao homem que matou a sogra e a tia e feriu a filha e a ex-mulher	VISEU
Capotamento de trator mata mulher de 62 anos	COIMBRA
Capturado homem que matou mãe com martelo em Viseu	VISEU
Cascais. Vai continuar preso o jovem que aos 16 anos matou mãe à facada	LISBOA
"Cenário de ""grande violência"" na casa onde filho matou a mãe à pancada"	SETÚBAL
Centenas em vigília por mulher assassinada em Braga	BRAGA
Cerca de 100 pessoas marcam presença no funeral do homem que matou ex-sogra e filha	SANTARÉM
Cinzas de corpo de emigrante assassinada divididas entre a Suíça e Portugal	AVEIRO
Comerciante assassinada em noite de assaltos	AVEIRO
Companheiro mata à facada mulher grávida de oito meses	LISBOA
Concentração e vigília evocam memória de mulheres assassinadas em Portugal	COIMBRA
Condenado a 18 anos e meio de prisão homem que matou e congelou a mãe	LEIRIA
Condutor que matou mulher entregou-se à PSP	AVEIRO
Confessa que matou mulher à facada e diz estar arrependido	AVEIRO
Confessa que matou namorada por ciúmes	SANTARÉM
Confirmada prisão de 12 anos para jovem que matou ex-namorada	AVEIRO
Consulado quer saber se é uma jovem brasileira a mulher assassinada em Braga	BRAGA
Corpo de emigrante assassinada cremado quase dois meses depois, cinzas divididas com Portugal	AVEIRO
Desempregado mata mulher grávida	LISBOA
Despiste seguido de incêndio mata duas mulheres em Setúbal	SETÚBAL
Detido ex-namorado da brasileira assassinada em Braga	PORTO
Detido homem que matou ex-mulher em Chelas	LISBOA
Detido homem que matou mulher à pancada	LISBOA
Detido homem que matou mulher encontrada dentro de mala de viagem em Arruda dos Vinhos	LISBOA
Detido homem que matou mulher grávida	LISBOA
Detido por assassinar mulher confessou que matou marido da amante	LISBOA
Dezasseis anos de prisão para homem que matou a companheira e depois foi passear o cão	PORTO
Dezasseis anos de prisão para homem que matou ex-namorada com 23 facadas	SANTARÉM
Emigrante português que matou a mulher não será extraditado para a Suiça	AVEIRO
Empreiteiro falido matou mulher e suicidou-se na Malveira da Serra	LISBOA
Encontrado morto na prisão homem que matou ex-companheira e filho	PORTO
Escreveu livro para contar como o pai matou a mãe	PORTO
Ex-fuzileiro mata mulher num ataque de fúria	BRAGA
Ex-militar mata a mãe e é detido pela PJ no Porto	PORTO
Ex-namorado ciumento mata jovem mãe de 25 anos à facada	VISEU
Famalicão. Homem mata mulher e tenta suicidar-se	BRAGA
Família quer ficar com filho de mulher assassinada pelo ex-amante em Amarante	PORTO
Feministas ignoraram freira assassinada? “Não esquecemos nenhuma vítima. Gostaríamos que o bispo fizesse o mesmo”	AVEIRO
Filho confessa que matou a mãe. Mulher estava desaparecida desde a semana passada	VILA REAL
Filho de milionário mata mulher com quatro tiros	LISBOA
Filho drogado mata a mãe com martelo em Viseu	VISEU
Freira assassinada. Bispo do Porto diz que justiça “falhou redondamente” e critica feministas	PORTO
Funeral de avó e neta assassinadas realiza-se no sábado	SETÚBAL
GNR avança que homem que matou mulher a tiro está em fuga	COIMBRA
GNR detém jovem de 22 anos que esfaqueia e mata ex-namorada em Albufeira	FARO
Homem armado mata a mulher no emprego	SANTARÉM
Homem barricado em Beja matou mulher, filha e neta à catanada	SETÚBAL
Homem confessa que matou mulher à facada em Esmoriz	AVEIRO
Homem confessou em tribunal que matou mulher após discussão	LEIRIA
Homem da Póvoa de Varzim matou mãe de 79 anos com sete facadas - PJ	PORTO
Homem de 73 anos mata mulher doente terminal em Matosinhos	PORTO
Homem de 89 anos que matou a mulher em Paços de Ferreira em prisão preventiva	PORTO
Homem desconhece porque sobrinha e marido lhe mataram a mulher e o esfaquearam	AVEIRO
Homem doente mata mulher	LISBOA
Homem mata a mãe após esta ter rezado mal	SETÚBAL
Homem mata a mulher a tiro e dispara sobre o filho e 5 anos	PORTO
Homem mata a mulher na noite de Natal	COIMBRA
Homem mata a tiro ex-mulher em Leiria	LEIRIA
Homem mata companheira à facada no interior de clínica	LISBOA
Homem mata companheira com tiro de caçadeira e suicida-se em Cascais	LISBOA
Homem mata companheira e suicida-se, em Famalicão	BRAGA
Homem mata companheira na estação da CP da Amadora	LISBOA
Homem mata duas mulheres e suicida-se no Alandroal	ÉVORA
Homem mata ex-companheira por ciúme após três anos de terror	LISBOA
Homem mata ex-mulher e fere familiares à facada	LISBOA
Homem mata ex-mulher e um militar da GNR a tiro	COIMBRA
Homem mata ex-mulher grávida de sete meses	LISBOA
Homem mata ex-mulher num jardim em Alcáçovas, Évora	ÉVORA
Homem mata mãe à facada e entrega-se à polícia na Póvoa de Varzim	PORTO
Homem mata mãe à pancada em Palmela	SETÚBAL
