news_site_title	dateyear	district
Ai queres divórcio?! E depois matou a mulher a tiro	2015	Leiria
Nunca quis matar a mulher da minha vida: Homem que assassinou ex-companheira na Golegã ouvido em tribunal	2019	Santarém
“Matou a minha filha enquanto dormia”, diz mãe da vítima do monstro do Seixal	2019	Setúbal
12 anos de prisão para homem que matou sogra à paulada por engano	2017	Braga
12 anos de prisão para jovem que matou ex-namorada em Braga	2016	Porto
"13 anos de prisão para homem que matou a mulher por ""não ter feito o almoço"""	2018	Viana do castelo
17 anos de prisão para homem que matou mulher a tiro	2011	Setúbal
18 anos de cadeia para homem que matou mulher com 19 facadas	2015	Porto
19 anos de prisão para homem que matou a sogra	2016	Bragança
21 anos de prisão para jovem que matou ex-namorada em Braga	2016	Braga
21 anos e meio de prisão para homem que matou ex-namorada grávida	2017	Lisboa
25 anos de prisão para homem que matou mulher e filha em Soure	2016	Coimbra
25 anos de prisão para homem que matou mulher e GNR	2017	Coimbra
A 30.ª vítima de violência doméstica. Mulher assassinada hoje tinha 44 anos e dois filhos	2020	Bragança
Acidente mata mãe de 35 anos e deixa filha de seis e bebé feridos	2016	Setúbal
Advogada assassinada em Estremoz	2014	Évora
Assassinada à pancada com tijolo por ciúmes	2018	Coimbra
Assassinada luso-venezuelana sequestrada em Miranda	2011	Lisboa
Assassinada pelo marido após duas queixas na GNR	2018	Coimbra
Assassinou a mulher com três tiros de caçadeira em Braga	2019	Braga
Assassinou a mulher e o companheiro na Murtosa	2001	Santarém
Assassinou mulher à facada por suspeitar que estivesse grávida	2019	Viseu
Atropelamento ferroviário mata mulher em Alenquer	2018	Santarém
Autoridades procuram homem que matou uma mulher à facada	2014	Bragança
Balões e muitas lágrimas nas cerimónias fúnebres de avó e neta assassinadas no Seixal	2019	Setúbal
Bebé raptada pelo pai que matou sogra encontrada morta no carro	2019	Setúbal
Beja: ex-bancário mata mulher, filha e neta dentro de casa [fotos]	2012	Beja
Bispo do Porto critica justiça e feministas no caso de freira violada e assassinada	2019	Porto
Bombeiro que matou jovem mãe alega legítima defesa	2019	Viseu
Caça ao homem que matou a sogra e a tia e feriu a filha e a ex-mulher	2018	Viseu
